"","X","song_name","artist_name","danceability","energy","key","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","id","duration_ms","time_signature","week","ranking","sample"
"1473",1473,"Life Goes On (feat. Trippie Redd & Ski Mask The Slump God)","Oliver Tree",0.698,0.799,0,-3.682,0.0498,0.109,0,0.0942,0.571,79.962,"07ShpyCaAqfCseA3fWFFMY",182492,4,"12/23/2021",73,1
"1474",1474,"thailand","Roddy Ricch",0.875,0.478,7,-10.562,0.218,0.00717,0,0.147,0.409,128.99,"0qHPxjC83zQYcxe39xSShx",200959,4,"12/23/2021",74,1
"1475",1475,"Neon Stars","Wild Rivers",0.676,0.41,7,-7.559,0.0299,0.886,7.06e-05,0.0841,0.346,112.988,"3510CiWgHk4J8PH10SxoLZ",161027,4,"12/23/2021",75,1
"1477",1477,"Your Heart","Joyner Lucas",0.861,0.637,6,-7.701,0.133,0.392,0,0.0929,0.754,87.006,"2DTpP3caqX3QdJIEoS83mD",198621,4,"12/23/2021",77,1
"1478",1478,"Nuclear Lethargy","Lane 8",0.479,0.791,5,-8.668,0.0296,0.000682,0.952,0.103,0.259,124.013,"1OibEvLxYUIkQyFekXqC5N",344516,4,"12/23/2021",78,1
"1479",1479,"Let's go to Hell","Tai Verdes",0.782,0.798,4,-5.07,0.0337,0.141,0,0.685,0.905,127.89,"38XLUjlR84JEwK0SOvX77a",152182,4,"12/23/2021",79,1
"1481",1481,"Ambition For Cash","Key Glock",0.841,0.732,7,-5.186,0.19,0.0115,2.18e-05,0.136,0.576,149.012,"4mIHgQ3ofK2RK34UdbqMbe",143480,4,"12/23/2021",81,1
"1482",1482,"Nadie Va A Pensar En Ti Mejor Que Yo","Conjunto Rienda Real",0.77,0.695,2,-5.553,0.0341,0.192,7.03e-05,0.226,0.76,119.86,"30eHHpkjMNqb2F0V8nXjbJ",172018,4,"12/23/2021",82,1
"1484",1484,"Uncomfortably Numb","Arrows in Action",0.556,0.783,6,-4.946,0.059,0.148,0,0.0522,0.671,160.947,"5pFnamgeigKBccGiI8Mg2F",197984,4,"12/23/2021",84,1
"1485",1485,"Message In A Bottle (Taylor's Version) (From The Vault)","Taylor Swift",0.622,0.791,7,-6.106,0.0535,0.00188,3.72e-06,0.083,0.494,115.915,"3z6XUommYDWPHeFhmhhT6j",225960,4,"12/23/2021",85,1
"1486",1486,"Grateful","Kota the Friend",0.78,0.593,8,-8.226,0.37,0.397,0,0.0712,0.792,159.995,"2wmZFiWL7MKt2vQe6DPanz",241398,4,"12/23/2021",86,1
"1487",1487,"Shakey x off these drugs","ShakeyFunnyAzz",0.743,0.484,2,-12.917,0.468,0.335,0,0.109,0.301,77.449,"5hbjWmsPxsoUf8xupri1g7",139677,4,"12/23/2021",87,1
"1488",1488,"Burn","Juice WRLD",0.354,0.475,1,-9.333,0.0425,0.149,0.034,0.21,0.0393,114.975,"0QwKxajohg1rAMMmv1AWe1",217222,4,"12/23/2021",88,1
"1489",1489,"hate u cuz i don't (feat. Bea Miller)","Louis The Child",0.642,0.72,8,-4.868,0.214,0.0755,0,0.0713,0.345,118.042,"0ebzDbmaqvnBTfoZbd90BW",165754,4,"12/23/2021",89,1
"1491",1491,"Dos Oruguitas","Sebastian Yatra",0.423,0.355,0,-10.565,0.0454,0.761,0,0.0915,0.465,93.788,"5rohUzwEoRsUvAA1Bf3DLo",214613,4,"12/23/2021",91,1
"1492",1492,"Paralyzed","Sueco",0.588,0.856,0,-5.288,0.0648,0.00128,2.78e-06,0.109,0.359,150.008,"5svL1PkWw8hPEAOdTNLexy",163260,4,"12/23/2021",92,1
"1493",1493,"Hold On (Feat. MOONZz)","CloZee",0.536,0.49,2,-6.338,0.0275,0.138,0.000363,0.109,0.0392,87.031,"6SXlHewUNdxtoa9QrZm77f",276000,4,"12/23/2021",93,1
"1494",1494,"edamame (feat. Rich Brian) - Diplo Remix","bbno$",0.831,0.747,0,-5.334,0.0606,0.0114,0.0642,0.124,0.7,121.989,"1fvEC5ksBfgjGWVNP9eJ2t",175309,4,"12/23/2021",94,1
"1498",1498,"Wave Gods","Nas",0.601,0.938,1,-4.382,0.282,0.0225,0,0.0508,0.762,87.129,"14246VCxRDGZHqlMlqWSz4",190261,4,"12/23/2021",98,1
"1499",1499,"Don’t Play (with Lil Baby)","Polo G",0.684,0.624,2,-7.414,0.347,0.239,0,0.112,0.708,146.925,"2QIBJFl8DJR1mDh9GwfZef",156735,4,"12/23/2021",99,1
"1500",1500,"If I Didn't Love You","Jason Aldean",0.456,0.679,1,-4.802,0.0324,0.176,0,0.103,0.483,184.075,"1WQ40xJSvgDmD9K7ckJwux",212030,4,"12/23/2021",100,1
"1502",1502,"Griztronics II (Another Level)","GRiZ",0.579,0.978,0,0.352,0.211,0.0205,0.00829,0.326,0.58,145.054,"2il9NDpW87Hk2L9AjeDf8r",165517,4,"12/16/2021",2,1
"1504",1504,"Fear Of Dying","Alison Wonderland",0.503,0.494,9,-7.546,0.0412,0.326,0.000481,0.0954,0.113,70.035,"3lVaRWkDwUkHveuSbilYdE",187800,4,"12/16/2021",4,1
"1506",1506,"Getting Late (feat. Danni Carra)","SLANDER",0.43,0.811,3,-2.712,0.0621,0.0315,0,0.315,0.238,159.988,"2wG7MgpfXMCzQcTPCt78Tb",231750,4,"12/16/2021",6,1
"1508",1508,"Cliffs - SoChill","SoDown",0.621,0.893,11,-5.502,0.0395,0.00117,0.328,0.101,0.265,131.999,"1FKveAY8gqp5TI7reaIWps",181818,4,"12/16/2021",8,1
"1509",1509,"Away From Myself","Adventure Club",0.479,0.923,9,-2.41,0.0476,0.0026,0,0.154,0.328,149.999,"1MTHQrIE43p9HnjtC5kBDP",192900,4,"12/16/2021",9,1
"1510",1510,"Broadway Girls (feat. Morgan Wallen)","Lil Durk",0.659,0.745,10,-3.599,0.0347,0.0417,0,0.296,0.54,74.967,"3DZ8dbKg4OTSSqGARvecYd",185600,4,"12/16/2021",10,1
"1511",1511,"Mannequins & Egos","ZHU",0.853,0.663,4,-3.659,0.0783,0.103,0.00274,0.0891,0.816,132.008,"4bCFw61qA3pmWIzR6ULCMY",213853,4,"12/16/2021",11,1
"1512",1512,"hail mary","mike.",0.775,0.401,0,-9.42,0.124,0.276,4.78e-06,0.399,0.316,96.972,"0EePy0Tts3VKrHaxIHbJir",150917,4,"12/16/2021",12,1
"1513",1513,"End Of The World","Excision",0.236,0.646,3,-1.788,0.0338,0.0526,0,0.341,0.237,138.54,"57Gbza8PAWUhQfoArMnEJk",222427,4,"12/16/2021",13,1
"1514",1514,"Windhorse","Of The Trees",0.347,0.352,6,-10.401,0.1,0.296,0.839,0.139,0.207,75.306,"6tTDDMmEJpyA97VNYQjjeP",234244,3,"12/16/2021",14,1
"1515",1515,"Tomorrow","Grieves",0.669,0.531,1,-8.631,0.277,0.0444,0.000291,0.107,0.291,169.911,"3LhcZzV7gLX5lZZeL0dyXH",177882,4,"12/16/2021",15,1
"1516",1516,"Absence of Reason","Greensky Bluegrass",0.576,0.587,2,-11.745,0.0292,0.338,0.344,0.291,0.579,100.432,"0Z8nSnEEBeNHlofljInbyU",257359,4,"12/16/2021",16,1
"1517",1517,"Chemical Bond","Rezz",0.635,0.93,2,-2.061,0.0583,0.000241,0.775,0.0918,0.0688,73.981,"5kn2FMZoBVClbA9CV7w3k5",142703,4,"12/16/2021",17,1
"1518",1518,"Know It All","Billy Strings",0.576,0.762,0,-6.518,0.0317,0.419,0.000205,0.317,0.716,126.848,"687SHqnUp3yGfGiuwgE2WG",205440,4,"12/16/2021",18,1
"1520",1520,"Face Down In The Moment","Nathaniel Rateliff & The Night Sweats",0.52,0.591,6,-3.225,0.0301,0.353,0.00412,0.102,0.359,151.089,"5yTpyXVKcB20zOGXU1ffgf",279187,4,"12/16/2021",20,1
"1522",1522,"Alone - Live at Red Rocks","Trampled by Turtles",0.285,0.726,0,-4.831,0.0329,0.098,0.123,0.749,0.162,135.128,"7uAbivUwot0JcdMoZeMpK5",278465,4,"12/16/2021",22,1
"1524",1524,"Y'all Means All - from Season 6 of Queer Eye","Miranda Lambert",0.562,0.804,9,-3.773,0.0559,0.0723,0,0.0641,0.733,164.003,"0gWFFtKm8PaAJdpkajFlD1",156893,4,"12/16/2021",24,1
"1526",1526,"Surface Pressure","Jessica Darrow",0.65,0.584,2,-8.286,0.307,0.0174,1.54e-06,0.042,0.37,180.088,"760jhRscwGbIIe1m1IIQpU",202227,4,"12/16/2021",26,1
"1527",1527,"BACKROOM","Mike Dimes",0.814,0.666,10,-4.131,0.264,0.241,0,0.532,0.735,141.08,"2CXNjqL7ewOt2bo5VCd1Lj",155745,4,"12/16/2021",27,1
"1528",1528,"BRIGHTSIDE","The Lumineers",0.549,0.715,10,-7.01,0.0356,0.359,0,0.101,0.555,134.074,"2mdkcujPED7xhV2MTtjYnD",229773,4,"12/16/2021",28,1
"1531",1531,"Ugliest","$uicideboy$",0.752,0.55,5,-7.166,0.362,0.172,0.0148,0.14,0.405,174.073,"2Q9nA56DKKJhj4cHMbHlAS",178131,4,"12/16/2021",31,1
"1532",1532,"Awaken (Feel Alive)","Big Wild",0.401,0.492,2,-6.489,0.0328,0.192,0,0.379,0.174,140.012,"1p6AQlMFpnH4hmhrSfoQ3k",180205,3,"12/16/2021",32,1
"1533",1533,"Just A Dream","Kaivon",0.448,0.748,1,-2.567,0.0416,0.0328,0.00295,0.204,0.155,144.778,"0FpXOnJP3OtKU5zGKUtrdu",168828,4,"12/16/2021",33,1
"1534",1534,"Slow Down Summer","Thomas Rhett",0.464,0.755,4,-5.707,0.0354,0.00838,0,0.0989,0.449,155.973,"1fff5nZGyRJtFLkOrSSwOU",216764,4,"12/16/2021",34,1
"1535",1535,"SUB ZERO","Just A Gent",0.795,0.902,11,-5.85,0.101,0.0479,0.662,0.271,0.15,130.023,"72VyFG8WRK6CeV3ToXccOm",194050,4,"12/16/2021",35,1
"1536",1536,"We Good (From The TV Show ""DAVE"")","Lil Dicky",0.652,0.574,7,-7.62,0.0638,0.0166,0,0.133,0.299,80.996,"2rKPqxCmMQ68wYV1ArFvNy",167676,4,"12/16/2021",36,1
"1537",1537,"i hope ur miserable until ur dead - Zeds Dead Remix","Nessa Barrett",0.493,0.834,2,-7.062,0.136,0.0053,0.000125,0.428,0.24,140.003,"6Ld4LUwUqWcMOwX6ka7mv5",202282,4,"12/16/2021",37,1
"1538",1538,"'Til You Can't","Cody Johnson",0.501,0.815,1,-4.865,0.0436,0.0513,0,0.106,0.46,160.087,"4k3lPl8YTKuY8c1HelVnm3",224213,4,"12/16/2021",38,1
"1540",1540,"IFK (i fucking know)","Nahko And Medicine For The People",0.453,0.636,2,-8.519,0.0285,0.583,3.28e-05,0.135,0.046,64.065,"74fBwFr3FdloVDSFemyNuD",195038,4,"12/16/2021",40,1
"1541",1541,"Siendo Sincero","Los Del Limit",0.505,0.335,3,-10.027,0.0359,0.693,1.4e-05,0.117,0.645,165.431,"6HgiRuV6ITWQBGsJ1HDjz1",174000,3,"12/16/2021",41,1
"1542",1542,"Holy Water","Brett Eldredge",0.425,0.362,9,-8.191,0.0356,0.35,1.16e-06,0.107,0.209,95.253,"0iXqDv92jTifES3rxAYDNc",165253,4,"12/16/2021",42,1
"1543",1543,"GodLovesUgly - Remix","Atmosphere",0.679,0.861,9,-5.189,0.214,0.307,0.723,0.103,0.536,94.985,"76xfSfbw0byLqMHykJyPru",184421,4,"12/16/2021",43,1
"1546",1546,"What Else Can I Do?","Diane Guerrero",0.718,0.709,4,-5.568,0.039,0.258,0,0.101,0.54,119.974,"3XoYqtiWHhsk59frZupImG",179427,4,"12/16/2021",46,1
"1547",1547,"We Don't Talk About Bruno","Carolina Gaitán - La Gaita",0.577,0.45,0,-8.516,0.0834,0.357,0,0.111,0.83,205.863,"52xJxFP6TqMuO4Yt0eOkMz",216120,4,"12/16/2021",47,1
"1550",1550,"Everyday People (Remix with B-Real & G.Love)","Slightly Stoopid",0.772,0.713,7,-7.151,0.0704,0.365,0.00254,0.361,0.848,91.513,"6pReUhCfnH5qxdjsG6vlig",225080,4,"12/16/2021",50,1
"1552",1552,"justified","Kacey Musgraves",0.669,0.552,0,-7.98,0.0587,0.807,0.000874,0.321,0.488,100.102,"4wONXG4GqWSscEyZlx300W",180800,4,"12/16/2021",52,1
"1555",1555,"Bucket List","Mitchell Tenpenny",0.476,0.718,2,-5.138,0.0426,0.161,0,0.0714,0.463,169.929,"4S0QBOoTwGVehyt1WCVJPY",205450,4,"12/16/2021",55,1
"1556",1556,"I Wanna Help Your Mind","Goth Babe",0.747,0.725,8,-8.517,0.215,0.2,0.197,0.0688,0.799,119.942,"08ZZ7SILfKcreLtA3K6Gqr",171938,4,"12/16/2021",56,1
"1558",1558,"23","Sam Hunt",0.641,0.78,3,-5.138,0.0852,0.0206,0,0.143,0.693,98.004,"4PuAqZlL1tkidkuxfDlLbF",179720,4,"12/16/2021",58,1
"1559",1559,"Take My Name","Parmalee",0.559,0.66,7,-4.143,0.0512,0.222,0,0.193,0.574,163.957,"2afB4eV1KWBqLqFqME6PTh",157907,4,"12/16/2021",59,1
"1561",1561,"Wishful Drinking (with Sam Hunt)","Ingrid Andress",0.678,0.528,10,-7.317,0.0551,0.289,0,0.0734,0.614,79.018,"3HGnIIdHYIbkowzLk8UHbE",194545,4,"12/16/2021",61,1
"1562",1562,"Knife Talk (with 21 Savage ft. Project Pat)","Drake",0.849,0.424,5,-9.579,0.324,0.0635,0,0.0834,0.153,145.887,"2BcMwX1MPV6ZHP4tUT9uq6",242966,4,"12/16/2021",62,1
"1563",1563,"When I’m Gone (with Katy Perry)","Alesso",0.685,0.886,0,-4.179,0.034,0.028,0,0.481,0.615,125.034,"5902W4uHWzhtOff1UK7the",161267,4,"12/16/2021",63,1
"1564",1564,"Home","Blackmill",0.448,0.596,0,-7.535,0.0315,0.000975,0.0394,0.112,0.0798,139.964,"0CuKOaAqv9uO9MmGtvyha2",462063,4,"12/16/2021",64,1
"1565",1565,"Story Of My Life (feat. Trippie Redd) - Heavy Edit","ILLENIUM",0.537,0.884,0,-4.088,0.0428,0.0121,1.71e-06,0.113,0.397,97.024,"7vBwenmGPD2h0DSbljoZym",240609,4,"12/16/2021",65,1
"1566",1566,"AA","Walker Hayes",0.635,0.747,4,-6.227,0.0293,0.00313,0,0.346,0.753,104.027,"77oKig47u34qCCFWKMfu1e",189560,4,"12/16/2021",66,1
"1567",1567,"family ties (with Kendrick Lamar)","Baby Keem",0.711,0.611,1,-5.453,0.33,0.00588,0,0.23,0.144,134.093,"3QFInJAm9eyaho5vBzxInN",252262,4,"12/16/2021",67,1
"1568",1568,"Stepped On A Bee","MisterWives",0.513,0.506,4,-5.874,0.0338,0.285,0,0.188,0.292,136.229,"4oHHeXVDV8lcZNfMYpGP59",227405,4,"12/16/2021",68,1
"1570",1570,"Chapstick","COIN",0.806,0.636,2,-6.281,0.042,0.00515,0.00053,0.109,0.783,115.03,"2c0NslS6dfGp1LT1iXbqyS",193299,4,"12/16/2021",70,1
"1571",1571,"Beverly Hills","Shaboozey",0.814,0.611,0,-6.526,0.0515,0.289,0,0.252,0.585,113.016,"3Ps0JFaxBuamCoQTx6X8LT",138318,4,"12/16/2021",71,1
"1572",1572,"Hesitate","Bun B",0.781,0.904,1,-4.349,0.189,0.164,0,0.112,0.363,101.984,"0j34tJF76rS45AYbSDwsUP",190588,4,"12/16/2021",72,1
"1573",1573,"Life Goes On (feat. Trippie Redd & Ski Mask The Slump God)","Oliver Tree",0.698,0.799,0,-3.682,0.0498,0.109,0,0.0942,0.571,79.962,"07ShpyCaAqfCseA3fWFFMY",182492,4,"12/16/2021",73,1
"1576",1576,"PEACE LOVE & WUBZ","LSDREAM",0.659,0.802,8,-3.597,0.0518,0.0018,0.00308,0.101,0.371,90.01,"776eASGwFLhvAUYmWZvwrL",240000,4,"12/16/2021",76,1
"1577",1577,"Your Heart","Joyner Lucas",0.861,0.637,6,-7.701,0.133,0.392,0,0.0929,0.754,87.006,"2DTpP3caqX3QdJIEoS83mD",198621,4,"12/16/2021",77,1
"1578",1578,"Nuclear Lethargy","Lane 8",0.479,0.791,5,-8.668,0.0296,0.000682,0.952,0.103,0.259,124.013,"1OibEvLxYUIkQyFekXqC5N",344516,4,"12/16/2021",78,1
"1579",1579,"Let's go to Hell","Tai Verdes",0.782,0.798,4,-5.07,0.0337,0.141,0,0.685,0.905,127.89,"38XLUjlR84JEwK0SOvX77a",152182,4,"12/16/2021",79,1
"1580",1580,"Big Subwoofer (feat. Snoop Dogg, Ice Cube, E-40 & Too $hort ) - Single Version","MOUNT WESTMORE",0.92,0.549,11,-5.912,0.257,0.0262,3.1e-06,0.196,0.709,90.004,"5GPm7PsMQwceQvfYlGXcCt",241587,4,"12/16/2021",80,1
"1581",1581,"Ambition For Cash","Key Glock",0.841,0.732,7,-5.186,0.19,0.0115,2.18e-05,0.136,0.576,149.012,"4mIHgQ3ofK2RK34UdbqMbe",143480,4,"12/16/2021",81,1
"1582",1582,"Nadie Va A Pensar En Ti Mejor Que Yo","Conjunto Rienda Real",0.77,0.695,2,-5.553,0.0341,0.192,7.03e-05,0.226,0.76,119.86,"30eHHpkjMNqb2F0V8nXjbJ",172018,4,"12/16/2021",82,1
"1583",1583,"By and By","Caamp",0.584,0.474,9,-7.981,0.0258,0.796,2.69e-06,0.115,0.332,101.457,"75nZ4W6quZhI55LKiqCXWh",280795,4,"12/16/2021",83,1
"1587",1587,"Shakey x off these drugs","ShakeyFunnyAzz",0.743,0.484,2,-12.917,0.468,0.335,0,0.109,0.301,77.449,"5hbjWmsPxsoUf8xupri1g7",139677,4,"12/16/2021",87,1
"1590",1590,"Man in the Mirror","A Boogie Wit da Hoodie",0.849,0.631,3,-4.241,0.0637,0.171,0,0.149,0.55,135.997,"7uLFOXgLrS90tEYPO1DGXy",215304,4,"12/16/2021",90,1
"1592",1592,"Paralyzed","Sueco",0.588,0.856,0,-5.288,0.0648,0.00128,2.78e-06,0.109,0.359,150.008,"5svL1PkWw8hPEAOdTNLexy",163260,4,"12/16/2021",92,1
"1594",1594,"edamame (feat. Rich Brian) - Diplo Remix","bbno$",0.831,0.747,0,-5.334,0.0606,0.0114,0.0642,0.124,0.7,121.989,"1fvEC5ksBfgjGWVNP9eJ2t",175309,4,"12/16/2021",94,1
"1595",1595,"Figured U Out","CharlestheFirst",0.595,0.49,4,-8.815,0.0503,0.696,0.000409,0.0661,0.0484,88.002,"5SDSc7ntlYfAVc0P99xpzG",201818,4,"12/16/2021",95,1
"1597",1597,"Megan's Piano","Megan Thee Stallion",0.953,0.621,11,-7.565,0.154,0.00799,4.87e-06,0.307,0.378,132.063,"4HyVMzg0sUQsdOxRvSO8Ka",113430,4,"12/16/2021",97,1
"1598",1598,"Wave Gods","Nas",0.601,0.938,1,-4.382,0.282,0.0225,0,0.0508,0.762,87.129,"14246VCxRDGZHqlMlqWSz4",190261,4,"12/16/2021",98,1
"1600",1600,"If I Didn't Love You","Jason Aldean",0.456,0.679,1,-4.802,0.0324,0.176,0,0.103,0.483,184.075,"1WQ40xJSvgDmD9K7ckJwux",212030,4,"12/16/2021",100,1
"1601",1601,"Gassed Up","Zeds Dead",0.643,0.985,4,-1.848,0.41,0.0152,0.000965,0.311,0.182,140.029,"6uwjDA0Qi6hk8C6lPJIMc9",238286,4,"12/9/2021",1,1
"1602",1602,"Griztronics II (Another Level)","GRiZ",0.579,0.978,0,0.352,0.211,0.0205,0.00829,0.326,0.58,145.054,"2il9NDpW87Hk2L9AjeDf8r",165517,4,"12/9/2021",2,1
"1605",1605,"Falling (Alexandar Smash Remix)","NGHTMRE",0.557,0.965,4,-0.84,0.0753,0.0107,0.139,0.052,0.298,150.005,"3zJTXgtzn4mr9YYanvSGfp",206404,4,"12/9/2021",5,1
"1607",1607,"Flower Shops (feat. Morgan Wallen)","ERNEST",0.527,0.461,7,-5.908,0.0269,0.118,0,0.0831,0.227,128.153,"2ccuOtUjIyx3tPcsnpeBzJ",214405,3,"12/9/2021",7,1
"1608",1608,"Cliffs - SoChill","SoDown",0.621,0.893,11,-5.502,0.0395,0.00117,0.328,0.101,0.265,131.999,"1FKveAY8gqp5TI7reaIWps",181818,4,"12/9/2021",8,1
"1609",1609,"Away From Myself","Adventure Club",0.479,0.923,9,-2.41,0.0476,0.0026,0,0.154,0.328,149.999,"1MTHQrIE43p9HnjtC5kBDP",192900,4,"12/9/2021",9,1
"1610",1610,"Broadway Girls (feat. Morgan Wallen)","Lil Durk",0.659,0.745,10,-3.599,0.0347,0.0417,0,0.296,0.54,74.967,"3DZ8dbKg4OTSSqGARvecYd",185600,4,"12/9/2021",10,1
"1612",1612,"hail mary","mike.",0.775,0.401,0,-9.42,0.124,0.276,4.78e-06,0.399,0.316,96.972,"0EePy0Tts3VKrHaxIHbJir",150917,4,"12/9/2021",12,1
"1613",1613,"End Of The World","Excision",0.236,0.646,3,-1.788,0.0338,0.0526,0,0.341,0.237,138.54,"57Gbza8PAWUhQfoArMnEJk",222427,4,"12/9/2021",13,1
"1614",1614,"Windhorse","Of The Trees",0.347,0.352,6,-10.401,0.1,0.296,0.839,0.139,0.207,75.306,"6tTDDMmEJpyA97VNYQjjeP",234244,3,"12/9/2021",14,1
"1615",1615,"Tomorrow","Grieves",0.669,0.531,1,-8.631,0.277,0.0444,0.000291,0.107,0.291,169.911,"3LhcZzV7gLX5lZZeL0dyXH",177882,4,"12/9/2021",15,1
"1617",1617,"Chemical Bond","Rezz",0.635,0.93,2,-2.061,0.0583,0.000241,0.775,0.0918,0.0688,73.981,"5kn2FMZoBVClbA9CV7w3k5",142703,4,"12/9/2021",17,1
"1618",1618,"Know It All","Billy Strings",0.576,0.762,0,-6.518,0.0317,0.419,0.000205,0.317,0.716,126.848,"687SHqnUp3yGfGiuwgE2WG",205440,4,"12/9/2021",18,1
"1619",1619,"Let Me Go v3","Kaskade",0.629,0.855,1,-5.552,0.0349,0.000122,0.0197,0.0546,0.364,125.003,"3Gt6A2B5H95iLAYsjaNvfI",258740,4,"12/9/2021",19,1
"1620",1620,"Face Down In The Moment","Nathaniel Rateliff & The Night Sweats",0.52,0.591,6,-3.225,0.0301,0.353,0.00412,0.102,0.359,151.089,"5yTpyXVKcB20zOGXU1ffgf",279187,4,"12/9/2021",20,1
"1621",1621,"Got Me Like","Big Gigantic",0.609,0.847,7,-3.984,0.0514,0.0203,0.0461,0.375,0.418,147.966,"4JPG8zY4MKIrchfyFGOEPU",171892,4,"12/9/2021",21,1
"1622",1622,"Alone - Live at Red Rocks","Trampled by Turtles",0.285,0.726,0,-4.831,0.0329,0.098,0.123,0.749,0.162,135.128,"7uAbivUwot0JcdMoZeMpK5",278465,4,"12/9/2021",22,1
"1623",1623,"Big Energy","Latto",0.935,0.807,11,-3.838,0.114,0.0514,0,0.349,0.813,106.017,"6Zu3aw7FfjAF9WA0fA81Oq",173182,4,"12/9/2021",23,1
"1624",1624,"Y'all Means All - from Season 6 of Queer Eye","Miranda Lambert",0.562,0.804,9,-3.773,0.0559,0.0723,0,0.0641,0.733,164.003,"0gWFFtKm8PaAJdpkajFlD1",156893,4,"12/9/2021",24,1
"1625",1625,"Record Player (with AJR)","Daisy the Great",0.665,0.684,11,-7.049,0.106,0.247,0,0.0636,0.927,73.986,"4jYt1pQqg2mIZmY4FWCZEM",149538,4,"12/9/2021",25,1
"1626",1626,"Surface Pressure","Jessica Darrow",0.65,0.584,2,-8.286,0.307,0.0174,1.54e-06,0.042,0.37,180.088,"760jhRscwGbIIe1m1IIQpU",202227,4,"12/9/2021",26,1
"1628",1628,"BRIGHTSIDE","The Lumineers",0.549,0.715,10,-7.01,0.0356,0.359,0,0.101,0.555,134.074,"2mdkcujPED7xhV2MTtjYnD",229773,4,"12/9/2021",28,1
"1629",1629,"She Likes It (feat. Jake Scott)","Russell Dickerson",0.79,0.325,4,-11.689,0.127,0.509,0,0.155,0.539,126.877,"6VVqPBFZIbcmv14zNfOc13",163311,4,"12/9/2021",29,1
"1630",1630,"Doin' This","Luke Combs",0.593,0.552,1,-5.838,0.028,0.18,1.71e-05,0.11,0.39,115,"4GyD3o5hWoyCuYpdlzZlRL",254181,4,"12/9/2021",30,1
"1631",1631,"Ugliest","$uicideboy$",0.752,0.55,5,-7.166,0.362,0.172,0.0148,0.14,0.405,174.073,"2Q9nA56DKKJhj4cHMbHlAS",178131,4,"12/9/2021",31,1
"1633",1633,"Just A Dream","Kaivon",0.448,0.748,1,-2.567,0.0416,0.0328,0.00295,0.204,0.155,144.778,"0FpXOnJP3OtKU5zGKUtrdu",168828,4,"12/9/2021",33,1
"1634",1634,"Slow Down Summer","Thomas Rhett",0.464,0.755,4,-5.707,0.0354,0.00838,0,0.0989,0.449,155.973,"1fff5nZGyRJtFLkOrSSwOU",216764,4,"12/9/2021",34,1
"1635",1635,"SUB ZERO","Just A Gent",0.795,0.902,11,-5.85,0.101,0.0479,0.662,0.271,0.15,130.023,"72VyFG8WRK6CeV3ToXccOm",194050,4,"12/9/2021",35,1
"1636",1636,"We Good (From The TV Show ""DAVE"")","Lil Dicky",0.652,0.574,7,-7.62,0.0638,0.0166,0,0.133,0.299,80.996,"2rKPqxCmMQ68wYV1ArFvNy",167676,4,"12/9/2021",36,1
"1637",1637,"i hope ur miserable until ur dead - Zeds Dead Remix","Nessa Barrett",0.493,0.834,2,-7.062,0.136,0.0053,0.000125,0.428,0.24,140.003,"6Ld4LUwUqWcMOwX6ka7mv5",202282,4,"12/9/2021",37,1
"1638",1638,"'Til You Can't","Cody Johnson",0.501,0.815,1,-4.865,0.0436,0.0513,0,0.106,0.46,160.087,"4k3lPl8YTKuY8c1HelVnm3",224213,4,"12/9/2021",38,1
"1639",1639,"Me Acostumbre A Lo Bueno","Fuerza Regida",0.715,0.739,6,-3.779,0.041,0.578,0,0.0887,0.963,101.611,"1hHnCReCPe1FUkGLTeuCaC",140984,3,"12/9/2021",39,1
"1640",1640,"IFK (i fucking know)","Nahko And Medicine For The People",0.453,0.636,2,-8.519,0.0285,0.583,3.28e-05,0.135,0.046,64.065,"74fBwFr3FdloVDSFemyNuD",195038,4,"12/9/2021",40,1
"1643",1643,"GodLovesUgly - Remix","Atmosphere",0.679,0.861,9,-5.189,0.214,0.307,0.723,0.103,0.536,94.985,"76xfSfbw0byLqMHykJyPru",184421,4,"12/9/2021",43,1
"1645",1645,"Dear God (feat. Kevin Gates)","FL Dusa",0.673,0.748,7,-6.1,0.365,0.255,0,0.236,0.716,139.667,"1oPdIqXhjswpTnA5PPQs0K",181714,4,"12/9/2021",45,1
"1647",1647,"We Don't Talk About Bruno","Carolina Gaitán - La Gaita",0.577,0.45,0,-8.516,0.0834,0.357,0,0.111,0.83,205.863,"52xJxFP6TqMuO4Yt0eOkMz",216120,4,"12/9/2021",47,1
"1649",1649,"Diablo","Mac Miller",0.595,0.617,1,-4.238,0.31,0.0395,4.06e-06,0.619,0.464,159.83,"3BDpkLMkgrtrM3HckrVIXr",198107,4,"12/9/2021",49,1
"1650",1650,"Everyday People (Remix with B-Real & G.Love)","Slightly Stoopid",0.772,0.713,7,-7.151,0.0704,0.365,0.00254,0.361,0.848,91.513,"6pReUhCfnH5qxdjsG6vlig",225080,4,"12/9/2021",50,1
"1651",1651,"Waiting On A Miracle","Stephanie Beatriz",0.48,0.554,1,-8.145,0.069,0.171,0,0.131,0.267,190.066,"3oRW9ZGPRbLRMneQ5lwflt",161840,3,"12/9/2021",51,1
"1652",1652,"justified","Kacey Musgraves",0.669,0.552,0,-7.98,0.0587,0.807,0.000874,0.321,0.488,100.102,"4wONXG4GqWSscEyZlx300W",180800,4,"12/9/2021",52,1
